Date,Model,Learning Rate,Batch_Size,Epoch,Alpha,noise_ratio,Train_Accuracy,Test_Accuracy,Precision_True,Precision_Fake,Recall_True,Recall_Fake,F1_Score_True,F1_Score_Fake,f1_macro,f1_micro,f1_weighted,AUC
Wed Jan 13 20:53:17 2021,MT_BERT_distilbert-base-uncased_Teacher,2e-05,4,10,0.99,1,0.9128223657608032,0.6432160804020101,0.6778042959427207,0.5617977528089888,0.7845303867403315,0.425531914893617,0.7272727272727274,0.48426150121065376,0.6432160804020101,0.6316150419719111,0.6050311508169742,0.6057671142416906
Wed Jan 13 21:28:44 2021,MT_BERT_distilbert-base-uncased_Teacher,2e-05,4,4,0.99,1,0.7838466763496399,0.6599664991624791,0.6632443531827515,0.6454545454545455,0.8922651933701657,0.3021276595744681,0.7608951707891636,0.41159420289855075,0.6599664991624791,0.6233981398774483,0.5971964264723169,0.5862446868438571
Thu Jan 14 04:45:33 2021,MT_BERT_distilbert-base-uncased_Teacher,2e-05,4,7,0.99,1,0.8907081484794617,0.6750418760469011,0.6953488372093023,0.6227544910179641,0.8259668508287292,0.4425531914893617,0.7550505050505051,0.5174129353233831,0.6750418760469011,0.661508078105993,0.6342600211590455,0.6362317201869441
Thu Jan 14 21:27:35 2021,MT_BERT_distilbert-base-uncased_Teacher,2e-05,8,3,0.85,1,0.8078571557998657,0.6750418760469011,0.6935483870967742,0.6257668711656442,0.8314917127071824,0.4340425531914894,0.756281407035176,0.5125628140703518,0.6750418760469011,0.660345277476158,0.6327671329493358,0.6344221105527639
Thu Jan 14 22:02:22 2021,MT_BERT_distilbert-base-uncased_Teacher,2e-05,8,3,0.85,1,0.7002381086349487,0.6231155778894473,0.6187175043327556,0.75,0.9861878453038674,0.06382978723404255,0.7603833865814696,0.11764705882352941,0.6231155778894473,0.5073799744824479,0.525008816268955,0.43901522270249954
Thu Jan 14 22:19:24 2021,MT_BERT_distilbert-base-uncased_Teacher,2e-05,8,3,0.85,1,0.7366666793823242,0.6499162479061976,0.6673960612691466,0.5928571428571429,0.8425414364640884,0.35319148936170214,0.7448107448107448,0.44266666666666665,0.6499162479061976,0.625876308690379,0.5978664629128952,0.5937387057387058
Thu Jan 14 22:37:39 2021,MT_BERT_distilbert-base-uncased_Teacher,2e-05,8,3,0.85,1,0.7671428322792053,0.6499162479061976,0.7154929577464789,0.5537190082644629,0.7016574585635359,0.5702127659574469,0.708507670850767,0.5618448637316562,0.6499162479061976,0.6507760801087386,0.6359351122604913,0.6351762672912116
Thu Jan 14 22:55:33 2021,MT_BERT_distilbert-base-uncased_Teacher,2e-05,8,3,0.8,1,0.7752380967140198,0.6750418760469011,0.7110552763819096,0.6030150753768844,0.7817679558011049,0.5106382978723404,0.7447368421052631,0.5529953917050692,0.6750418760469011,0.6692607267886038,0.6462031268367228,0.6488661169051662
Thu Jan 14 23:18:18 2021,MT_BERT_distilbert-base-uncased_Teacher,2e-05,8,3,0.8,1,0.8090476393699646,0.6465661641541038,0.6556701030927835,0.6071428571428571,0.8784530386740331,0.28936170212765955,0.7508854781582054,0.3919308357348703,0.6465661641541038,0.6095884246079813,0.5839073704008464,0.5714081569465379
Thu Jan 14 23:39:02 2021,MT_BERT_distilbert-base-uncased_Teacher,2e-05,8,3,0.85,1,0.802142858505249,0.6515912897822446,0.6974358974358974,0.5652173913043478,0.7513812154696132,0.4978723404255319,0.7234042553191488,0.5294117647058824,0.6515912897822446,0.6470420521464224,0.6246267779475725,0.6264080100125156
Fri Jan 15 00:00:16 2021,MT_BERT_distilbert-base-uncased_Teacher,2e-05,8,3,0.85,1,0.8061904907226562,0.6633165829145728,0.6761487964989059,0.6214285714285714,0.8535911602209945,0.3702127659574468,0.7545787545787546,0.46399999999999997,0.6633165829145728,0.6401968327596468,0.6119019630892206,0.6092893772893773
Fri Jan 15 00:33:21 2021,MT_BERT_distilbert-base-uncased_Teacher,2e-05,8,3,0.85,1,0.8126190304756165,0.6314907872696818,0.7052023121387283,0.5298804780876494,0.6740331491712708,0.5659574468085107,0.6892655367231638,0.5473251028806584,0.6314907872696818,0.6333928366344055,0.6199952979898907,0.6182953198019111
Fri Jan 15 00:58:04 2021,MT_BERT_distilbert-base-uncased_Teacher,2e-05,8,3,0.75,1,0.8323809504508972,0.661641541038526,0.723463687150838,0.5690376569037657,0.7154696132596685,0.5787234042553191,0.7194444444444444,0.5738396624472574,0.661641541038526,0.6621293292529219,0.6470965087574938,0.6466420534458509
Fri Jan 15 01:23:19 2021,MT_BERT_distilbert-base-uncased_Teacher,2e-05,8,3,0.74,1,0.8059523701667786,0.6767169179229481,0.6673267326732674,0.7282608695652174,0.930939226519337,0.2851063829787234,0.7773933102652826,0.4097859327217126,0.6767169179229481,0.6326902387029059,0.6080228047490301,0.5935896214934976
Fri Jan 15 01:41:38 2021,MT_BERT_distilbert-base-uncased_Teacher,2e-05,8,3,0.76,1,0.824999988079071,0.6482412060301508,0.6688888888888889,0.5850340136054422,0.8314917127071824,0.3659574468085106,0.7413793103448275,0.450261780104712,0.6482412060301508,0.6267853076539948,0.5987245797578464,0.5958205452247698
Fri Jan 15 01:59:17 2021,MT_BERT_distilbert-base-uncased_Teacher,2e-05,8,3,0.75,1,0.817380964756012,0.6515912897822446,0.7047872340425532,0.5610859728506787,0.7320441988950276,0.5276595744680851,0.7181571815718156,0.5438596491228069,0.6515912897822446,0.6495476001220384,0.6298518866815563,0.6310084153473112
Fri Jan 15 02:17:15 2021,MT_BERT_distilbert-base-uncased_Teacher,2e-05,8,3,0.755,1,0.8157142996788025,0.6432160804020101,0.6561844863731656,0.5916666666666667,0.8646408839779005,0.3021276595744681,0.7461263408820024,0.4,0.6432160804020101,0.6098789537676462,0.5833842717761843,0.5730631704410012
Fri Jan 15 02:34:51 2021,MT_BERT_distilbert-base-uncased_Teacher,2e-05,8,3,0.751,1,0.8233333230018616,0.6582914572864321,0.7101063829787234,0.5701357466063348,0.7375690607734806,0.5361702127659574,0.7235772357723577,0.5526315789473685,0.6582914572864321,0.6562870693504609,0.6368696367697191,0.6381044073598631
Fri Jan 15 02:52:35 2021,MT_BERT_distilbert-base-uncased_Teacher,2e-05,8,3,0.752,1,0.8142856955528259,0.6482412060301508,0.7111111111111111,0.5527426160337553,0.7071823204419889,0.5574468085106383,0.7091412742382271,0.5550847457627119,0.6482412060301508,0.6484992571666256,0.6323145644763136,0.6321130100004695
Fri Jan 15 03:12:06 2021,MT_BERT_distilbert-base-uncased_Teacher,2e-05,8,3,0.753,1,0.8252381086349487,0.6633165829145728,0.7906137184115524,0.553125,0.6049723756906077,0.7531914893617021,0.6854460093896714,0.6378378378378379,0.6633165829145728,0.6667057743567051,0.6790819325261548,0.6616419236137546
Fri Jan 15 03:30:22 2021,MT_BERT_distilbert-base-uncased_Teacher,2e-05,8,3,0.754,1,0.8211904764175415,0.6231155778894473,0.6203866432337434,0.6785714285714286,0.9751381215469613,0.08085106382978724,0.7583243823845328,0.14448669201520914,0.6231155778894473,0.5166964808153686,0.5279945926883743,0.451405537199871
Fri Jan 15 03:48:17 2021,MT_BERT_distilbert-base-uncased_Teacher,2e-05,8,3,0.753,1,0.8066666722297668,0.6515912897822446,0.6934673366834171,0.5678391959798995,0.7624309392265194,0.4808510638297872,0.7263157894736841,0.5207373271889401,0.6515912897822446,0.6453929441857196,0.6216410015281533,0.6235265583313121
